Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
MS525EZE96WWJ,Grifhold Bow Compass,,15.95,Fixed,,DEFAULT,9.21,,#2804,,7,,No,No
434J9ZSWBCCKM,INGENUE,,17.95,Fixed,,DEFAULT,17.95,,#30603,,6,,No,No
DPTC4P1SAZPWM,WINTER WHEAT,,17.95,Fixed,,DEFAULT,17.95,,W032-32,,6,,No,No
Z3A1762D108D2,Holbien 0 AeroFlash Colorless Extender 100ml,,24.95,Fixed,,DEFAULT,13.20,,0-01-100,,10,,No,No
PBCV0Y2RB5DZY,6x12 .024 TAG T10 (125 ct),,0.00,Fixed,,DEFAULT,75.00,,00206012T,,,,No,No
3E5B63C523N2T,Imperial Hookit II,,36.39,Fixed,,DEFAULT,29.40,,00672,,,,No,No
HH4T630QRN4XY,"3M Imperial Hookit II 6"" 400 Grit",,36.00,Fixed,,DEFAULT,29.40,,00673,,,,No,No
9B92S47MXDAG2,"3M Imperial Hookit II 6"" Disks - 220 Grit",,36.00,Fixed,,DEFAULT,0.00,,00678,,,,No,No
8HRCSABFJGABM,"3M Imperial Hookit II 6"" Disks",,36.00,Fixed,,DEFAULT,0.00,,00679,,,,No,No
BNT62AD958QH6,"3M Imperial Hookit II 6"" Disk 80 Grit",,43.50,Fixed,,DEFAULT,0.00,,00683,,,,No,No
B84C48BN53V8E,"3M Imperial Hookit II 6"" Disks - 180 Grit",,36.00,Fixed,,DEFAULT,0.00,,00697,,,,No,No
QSHA1VP0TTJXW,Dura Block 007 Complete Handle,,189.95,Fixed,,DEFAULT,0.00,,007-HD,,,,No,No
RX7S003V31EGE,3M 1500 Hook It II,,50.37,Fixed,,DEFAULT,0.00,,00850,,,,No,No
QG73RF3TK651A,Hookit Imperial 1200 Grit pad box,,53.00,Fixed,,DEFAULT,0.00,,00868,,,,No,No
E97QCVKY5SNTT,3M 1000 Hook It II,,53.69,Fixed,,DEFAULT,0.00,,00869,,,,No,No
SRX40GS5EDNSM,3m Hookit II 800 Grit,,60.00,Fixed,,DEFAULT,0.00,,00870,,,,No,No
DRV1FE7H5EA12,3m Hookit II 600 Grit,,53.06,Fixed,,DEFAULT,0.00,,00871,,,,No,No
ZY05CNFKC6VQG,Holbien 01 AeroFlash Transparent Magenta 1oz,,8.80,Fixed,,DEFAULT,0.00,4900669060017,01-01,,10,,No,No
0RYDMP5PMKYD4,Air Gunsa 1.3 Needle/Nozzle Set,,49.95,Fixed,,DEFAULT,0.00,,010133600,,-1,,No,No
MZK04CJBF18HA,Air Gunsa 3.5 Nozzle Needle Set,,30.00,Fixed,,DEFAULT,0.00,,010134200,,,,No,No
XJEC6FKWRTWZ8,"3"" Roloc 50G",,34.02,Fixed,,DEFAULT,0.00,,0104,,,,No,No
HEMS9WTFG4EXP,Gerson Elite Funnel Strainers FINE Mesh 190 Micron Strainers YELLOW 500/box,,43.55,Fixed,,DEFAULT,28.44,044585106146,010614Y,,,,No,No
XV3B9M9Y8KWR2,Gerson Elite Funnel Strainers LARGE Mesh 260 Micron Strainers RED/ORANGE 500/box,,43.55,Fixed,,DEFAULT,27.81,,010714R,,14,,No,No
26SA9M5GQQWY0,50 MICRON Strainers TURQOUISE 500/Box,,43.55,Fixed,,DEFAULT,29.69,044585108140,010814B,,-1,,No,No
BVB7XVSD0FN8C,Gerson Elite EXTRA FINE Mesh 125 Micron  Strainers BLUE 125/POD,,12.99,Fixed,,DEFAULT,6.54,,010914B-Pod,,-20,,No,No
BGV5G0GSMJCWJ,Gerson Elite Extra Fine Mesh 120 Micron Strainer BLUE 500/Case,,43.55,Fixed,,DEFAULT,29.06,,010914B,,,,No,No
RHAG386W2N216,"3M Stickit 6"" discs 800P Grit Roll",,47.30,Fixed,,DEFAULT,0.00,,01200,,,,No,No
FPPHYQX9EKJBJ,Gerson Elite EXTRA FINE Mesh 125Micron Strainer BLUE Starter Kit W/ Dispenser,,43.55,Fixed,,DEFAULT,0.00,044585127141,012001-010914B,,,,No,No
GQ6HEP67EKZNA,"3M 6"" P500 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,0.00,,01202,,,,No,No
1AEYQZ49WB0S0,"3M 6"" P400 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,30.73,,01203,,-1,,No,No
1J3NHEMVNVT7G,"3M 6"" P320 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,0.00,,01205,,2,,No,No
2THV5RBQGJD8M,"3M 6"" P280 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,0.00,,01206,,,,No,No
66SBXP49HRHHM,"3M 6"" P220 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,32.65,,01208,,,,No,No
TA4G2JJ6WQMQG,"3M 6"" P180 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,0.00,,01209,,1,,No,No
TKA010KARMV2R,"3M 6"" P120 Stikit Gold Disk 75/Roll",,47.30,Fixed,,DEFAULT,31.57,,01211,,1,,No,No
XEWCY0JXY8KQG,"3M 6"" P500 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01432,,1,,No,No
F2YM98E0D9564,"3M 6"" P360 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01433,,2,,No,No
5CXE6YGJTF6MC,"3M 6"" P400 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01434,,1,,No,No
4C85BGA5PYH74,"3M 6"" P320 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01435,,,,No,No
YM70H6AYYB4S0,"3M 6"" P280 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01436,,1,,No,No
GVT4S5RKB845J,"3M 6"" P220 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01438,,1,,No,No
567BEQSA95XE4,"3M 6"" P180 Stikit Gold Disk 175/Roll",,109.66,Fixed,,DEFAULT,0.00,,01439,,,,No,No
5AYWNVYCMTHRC,"3M 6"" P150 Stikit Gold Disk 175/Roll",,114.25,Fixed,,DEFAULT,0.00,,01440,,,,No,No
668HKRF9ANMKT,"3M 6"" P120 Stikit Gold Disk 125/Roll",,78.34,Fixed,,DEFAULT,0.00,,01441,,,,No,No
JYV8E4PMMSEK8,3M Stikit Gold Disc Roll P80 Grit 125 Pads,,75.12,Fixed,,DEFAULT,0.00,,01443,,,,No,No
09S3JRT7MYK1R,DeVilbiss in line disposable filter,,6.99,Fixed,,DEFAULT,0.00,,01694,,25,,No,No
7WVYXXHZK04N2,"3M 6"" P500 Hookit Clean Sand PURP",,45.38,Fixed,,DEFAULT,30.29,051131018105,01810,,,,No,No
WZP0ER4W4Y70G,"3M 6"" P400 Hookit Clean Sand PURP",,45.38,Fixed,,DEFAULT,31.48,051131018112,01811,,5,,No,No
1CQ9N6GQCSADY,"3M 6"" P320 Hookit Clean Sand PURP",,45.38,Fixed,,DEFAULT,31.48,051131018129,01812,,3,,No,No
HDK07DFPJZNSR,"3M 6"" P220 Hookit Clean Sand PURP",,45.38,Fixed,,DEFAULT,31.48,,01815,,1,,No,No
QGZRQNQ9ZS7ZW,"3M 6"" P180 Hookit Clean Sand PURP",,45.38,Fixed,,DEFAULT,30.29,,01816,,3,,No,No
SX97M0J8400SY,"3M 6"" P150 Hookit Clean Sand PURP",,48.86,Fixed,,DEFAULT,31.48,,01817,,1,,No,No
MZD2S4KK4JR8E,"3M 6"" P80 Hookit Clean Sand PURP",,54.30,Fixed,,DEFAULT,0.00,,01820,,,,No,No
2HY1GQ2NT5SWR,1 oz Cylinder 20/410 HDPE Bottle,,0.50,Fixed,,DEFAULT,0.06,,01C20HN,,3784,,No,No
7WGW5M57Q9W18,1oz Cylinder Only,,0.50,Fixed,,DEFAULT,0.03,,01C20HN:1OZ-Bottle,,2783,,No,No
3XE62FYM02HBJ,Holbien 02 AeroFlash Transparent Carmine 1oz,,8.80,Fixed,,DEFAULT,4.70,4900669060024,02-01,,8,,No,No
KQNM5MEGZ5ZJA,3M Wet or Dry Sheets 320A,,51.08,Fixed,,DEFAULT,34.96,,02004,,,,No,No
8ZZ6JEBPETTVR,3M Wet/Dry  P800A 50pack,,61.09,Fixed,,DEFAULT,35.21,051131020351,02035,,4,,No,No
GJZ6DRZF2FAQ0,3M Wet or Dry Sheets P320,,52.49,Fixed,,DEFAULT,34.41,,02040,,10,,No,No
9CD1PHT4ZQE8E,3M 1000 Trizact,,92.00,Fixed,,DEFAULT,0.00,,02066,,1,,No,No
1QBF1AFZ4DR5G,3000 Trizact,,85.15,Fixed,,DEFAULT,0.00,,02075,,1,,No,No
DAPR6RRKNTM70,"3M 6"" P3000 Hookit Trizact Clean and Sand FOAM DISC",,112.50,Fixed,,DEFAULT,69.33,051131020856,02085,,-3,,No,No
MCS3H67J7A27C,"3M 6"" P1500 Hookit Trizact Clean and Sand CLEAR COAT DISC",,79.60,Fixed,,DEFAULT,51.12,4046719907335,02088,,-2,,No,No
P2HP620Y7N62P,"3M 6"" P1000 Hookit Trizact Clean and Sand BLENDING DISC",,133.87,Fixed,,DEFAULT,72.41,051131020900,02090,,1,,No,No
921FEQDAKYA7T,System one spot buffing pads kit,,33.00,Fixed,,DEFAULT,0.00,,025,,-1,,No,No
CFWET246XGNS6,500 paper 3m,,42.95,Fixed,,DEFAULT,28.00,,02538,,3,,No,No
