"sectionID","sectionName","sectionWorkingName","sectionImage","topSection","sectionOrder","rootSection","sectionDisabled","sectionURL","sectionDescription"
59,"Additives & Specialty Products","Additives & Specialty Products","images/createxadditives.jpg",53,46,1,0,"",""
60,"Color Sets","Color Sets","prodimages/createx.gif",53,47,1,0,"",""
61,"Auto Air Colors","Auto Air","images/logoautoair.png",11,9,0,0,"",""
62,"Series 4200 Transparent Colors","Transparent Colors","images/aatransparent.jpg",774,4,1,0,"",""
63,"Series 4200 Semi-Opaque Colors","Semi-Opaque Colors","images/aasemiopaque.jpg",774,5,1,0,"",""
67,"Shimrin Kandy Base Coats (KBC)","Kandy Base Coats","prodimages/KBC01.gif",44,9,1,0,"","<p>Kandy Base Coats are a mixture of Kandy and select Pearls into a SHIMRIN® Universal Base Coat that mimics a Kandy finish. They feature low build, fewer coats, are easy to apply, and touchups are easier than ever. </ p>"
68,"Neon Base Coats (NE)","Neons","prodimages/NE504.gif",44,10,1,0,"","<p>Neons are designed for high visual impact on race cars, boats, motorcycles, etc. They can be cleared for a final finish or used as a base coat for Pearls, or Kandys.
IMPORTANT: Neons have limited light fastness in the sun. Use where high visual impact is important and light fastness is not.</ p>"
69,"Kameleon Kolors (KF)","Kameleons","prodimages/Kameleon.gif",44,11,1,0,"https://www.coastairbrush.com/products.asp?cat=919","<p>*DISCONTINUED* Kameleon Kolor is a revolutionary base coat that changes color as the angle from which the vehicle is viewed changes. Rounded surfaces, and sharp angles alike will highlight the uniqueness of Kameleon Kolor. Kameleon Kolor base coats are easy to apply and must be top coated with either urethane enamel or acrylic lacquer. *CLICK FOR 'HYPER-SHIFT' COLORS*</ p>"
72,"Prep / Primer / Ko-Seal","Prep","PRODIMAGES/KC10.gif",44,12,1,0,"","Click link above to view the following:
<br>
Wax & Grease Remover (KC10)
Post Sanding Cleaner (KC20)
Kwikure Epoxy Primer (KP21)
Chromate Free Epoxy Primer KP2CF)
Ko-Seal Primer Sealer (KS)
Bleed Check Sealer (SBS10)"
74,"Kosmic Kolor Urethane Enamel Kandy (UK)","UK Bases","prodimages/UK04.gif",44,13,1,0,"","<p>Our Kosmic Kolor® urethane enamel Kandys provide fantastic gloss and depth. Available in 20 stunning translucent colors. They are crack resistant and can be applied over any of our SHIMRIN® Universal Base Coats, Kustom Bases, or Kustom Pearls. Requires KU100 Catalyst and Kosmic Reducer.</ p>"
75,"Intensifier Kandy Koncentrate (KK)","Kandy Koncentrates","prodimages/KONCENTRATE.gif",44,14,1,0,"","<p>Use to enrich any of our Kosmic Kolor Urethane Enamel Kandys or Kustom Kolor Acrylic Lacquer Kandys. Our intensifiers reduce the number of coats required to color match an exterior finish. Works great on door jambs, under the hood and in trunk areas. Is also great for small parts, and motorcycles, when time is a factor. Can also be used with SG100 or our lacquer clears for multi-colored artwork.</ p>"
76,"Urethane Components (Catalysts)","Catalysts","prodimages/KU100.gif",44,15,1,0,"","Click the link above to view the following:
KU100 Catalysts
KU150 Exempt Catalysts
KU190 Catalysts Urethane System
KU151 Slow Exempt Catalysts"
77,"Clear Coats","HOK Clear Coats","prodimages/sg150.gif",44,16,1,0,"","Click the link above to view the following:
UC35 Kosmic Polyurethane Klear
UFC35 Polyurethane Flo-Klear
UFC19 Komply Klear II 1.9 VOC
SG100 Intercoat Clear
SG150 Pearl & Flake Karrier"
78,"Reducers & Thinners","Reducers","prodimages/RU310.gif",44,18,1,0,"","Click the link above to view the following:
RU310 Fast Dry Reducer
RU311 Medium Dry Reducer
RU312 Slow Dry Reducer
RU313 Very Slow Reducer
RU315 Retarder
RU300 VOC Exempt Reducer
RU101 Hi-Gloss Thinner
RU202 Fast Dry Thinner"
79,"Specialty Products","Specialty Products","prodimages/AP01.gif",44,19,1,0,"","Click the link above to view the following:
AP01/AP02 Adhesion Promotors
AX01 Accelerator
HH04 Hi-Heat Black
FA01 Flattening Agent"
80,"Striping & Lettering Enamel","Striping & Lettering","prodimages/Striping.gif",44,20,1,0,"","Click the link above to view the following:
KU200 Striping Catalyst
U00 Striping Reducer
U Series Striping Enamels"
81,"Flakes (F, MF, & UMF)","Flakes","prodimages/FLAKES.gif",44,21,1,0,"","<p>House of Kolor flakes are the best money can buy. They are ultra-thin, easier to smooth out and have tremendous sparkle! Add them to any of our clears or Kandys for some additional flash. Available in an array of colors, and three different sizes: a standard coarse flake, a fine mini flake and an even finer ultra-mini flake.</ p>"
82,"Dry Pearl Concentrates (DP, DR)","Dry Pearls","prodimages/PEARLS.gif",44,22,1,0,"","<p>These pearl concentrates may be added to any of our acrylic lacquers or urethane enamels, or to first coats of kandys when shooting over solid color bases. They are available in paste or dry form in an array of colors. Use them to design your own one of a kind custom paint job.</ p>"
83,"Ice Pearls (IP)","Ice Pearls","prodimages/ICEPEARLS.gif",44,23,1,0,"","<p>*NEW ICE PEARL II* Glass flake pigments go beyond what traditional pearls offer in vibrancy, brilliance, and sparkle–especially under sunlight conditions. Ice Pearls II™ can be used with any of our SHIMRIN® bases, Kandys, Klears, or Kustom bases to give a brilliant glitter effect.</ p>"
84,"Kameleon Pearls (KPF)","Kameleon Pearls","prodimages/KAMPEARLS.gif",44,24,1,127,"","<p>The color changing effect of Kameleon™ Pearls are just as dramatic as the Kameleon™ Base coats Available in five color changing pigments and two particle sizes, Standard (90 microns) and Fine (40 microns). They are in dry form and may be added to SG-100 Intercoat Clear, MB00 or any of our acrylic lacquer or urethane clears.</ p>"
85,"Kosmic Long-Glo (KLG)","Kosmic Long-Glo","prodimages/KOSGLO.gif",44,25,1,127,"","<p>Depending on use and sun exposure, light fastness on some colors will be limited. The Kosmic Long-Glo has demonstrated better light fastness than the recommended using Kosmic Long-Glo with discretion. Even though the color may change with time and exposure, the Glow-in-the-Dark feature remains for a long time.</ p>"
86,"Kameleon Opals (KOP)","Kameleon Opals","prodimages/kop.gif",44,26,1,127,"","<p>Kameleon Opals represent some of the latest advancements in pearlescent and flake technology allowing radical color shift from different viewing angles. These products are available as easy dispersing powders that can be added to clears, pearl basecoats, and Marblizer to create dazzling effects and exciting new colors.</ p>"
87,"Kosmic Pearls (KDP)","Kosmic Pearls","prodimages/KAMPEARLS.gif",44,27,1,0,"","<p>House of Kolor's Pearl Concentrates are available in dry form and may be added to any of their urethane enamels. They may also be added to first coats of Kandys when shooting over solid color bases. KOSMIC PEARLS MUST BE VIEWED IN SUNLIGHT TO SEE MAXIMUM EFFECT. Kosmic Pearls feature increased reflectivity, brightness, & sparkle.</ p>"
88,"Books/Videos/DVD's","Training-HOK","prodimages/B20002.gif",44,28,1,0,"",""
90,"Color Cards / Tech Manual","Color Cards HOK","prodimages/CC100-12.gif",44,29,1,0,"https://www.coastairbrush.com/HOK_S2_digitals.html",""
91,"Comart by Medea","Comart","images/logocomart.png",11,34,0,0,"",""
92,"Tamiya","Tamiya","images/logotamiyaW.png",11,36,0,0,"",""
93,"Aeroflash by Holbein","Aeroflash","images/logoholbein.png",11,47,0,0,"",""
95,"House Of Kolor Small Quantity Kits","House of Kolor Paint Kits","prodimages/hokkitimg.png",44,2,1,0,"hok-kits.asp",""
96,"Coast Kustom Kits","Coast Kits","",0,76,1,0,"coastkustomkits.asp","<p>Coast Airbrushhas put together several kustom kits for the beginner to the professional. We will also put together any competitor's advertised kit - JUST ASK!</p>"
97,"Double Action Airbrushes","Double Action","prodimages/VL-setSMc.png",28,77,1,0,"",""
98,"Single Action Airbrushes","Single Action","prodimages/H-setSMc.png",28,78,1,0,"",""
99,"Air Eraser","Air Eraser","prodimages/AEC-KSMc.png",28,79,1,0,"","AIR ERASER & KITS<br>COMPOUNDS<br>HOSES</br>"
100,"Flow Pencil","Flow Pencil","prodimages/fp132smc.png",28,80,1,0,"",""
101,"Bottles/Hoses/Regulators","Bottles-Paasche","prodimages/a-1-8mtc.png",28,81,1,0,"",""
