"pID","pName","pSection","pPrice","pWholesalePrice","pListPrice","pShipping","pShipping2","pWeight","pDisplay","pSell","pBackOrder","pGiftWrap","pExemptions","pInStock","pDims","pTax","pDropship","pStaticPage","pStockByOpts","pRecommend","pOrder","pSKU","pManufacturer","pSearchParams","pTitle","pMetaDesc","pStaticURL","pMinQuant","pDescription","pLongDescription"
"4042","""The David Hightower Fitch""",476,0,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",10,"","","","",0,"This white bristle fitch (100% pure white hog bristle) is cup chiseled to a straight edge and has a long polished handle. It is a lettering brush best suited for outdoor work such as walls, bulletins and rough surfaces.","*  Shorter Length<br>
    * Finest 100% White Hog Bristle<br>
    * Cup Chiseled<br>
    * Seamless Nickel Ferrules<br>
    * Long Polished Red Handle</br>
"
"T6131","#1 Air Cap",334,4.5,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6131P","#1 Proliner Air Cap",334,5.95,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6081","#1 Vega Needle",334,4.85,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6141","#1 Vega Tip",334,3.8,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"L/M#2","#2 Mike Lavallee Liner (Pointed Detailer)",209,4.8,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",10,"","","","",0,"The Detailer  is used for all tiny strokes like individual hairs, small feathers, etc. Also, I like to use it to do broken outlines around my dry brush strokes and lettering.",""
"T6133","#3 Air Cap",334,4.5,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6133P","#3 Proliner Air Cap",334,5.95,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6083","#3 Vega Needle",334,4.85,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6143","#3 Vega Tip",334,3.8,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6135","#5 Air Cap",334,4.5,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6085","#5 Vega Needle",334,4.85,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"T6145","#5 Vega Tip",334,3.8,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"L/M#8","#8 Mike Lavallee Shader",209,6.25,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",10,"","","","",0,"The Shader  is a smaller version of the 1/2"" and is used for smaller details like rocks, trees, feathers, etc.",""
"FINLANT","*NEW* T-Shirt by Pete ""Hot Dog"" Finlan",390,25,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"*NEW* Coast Airbrush EXCLUSIVE! T-Shirt designed by Pete ""Hot Dog"" Finlan!",""
"44434","*NEW* Virus Series 444VII 3/4 Handle",202,0,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",10,"","","","",0,"<p>*NEW* Mack Virus Series short handle Scroll Striper. Featuring a ¾ handle. The 44434 is offered in the same sizes and specs as the original 444. Mack freshened up the look by using a shiny black ferrule with a black tip. Full synthetic filament mixture.<br><br>

Available sizes include<br><br>
Size 0<br>
Size 1<br>
Size 2<br>
Size 4<br>
Size 6</br></p>
","<p>*NEW* Mack Virus Series short handle Scroll Striper. Featuring a ¾ handle. The 44434 is offered in the same sizes and specs as the original 444. Mack freshened up the look by using a shiny black ferrule with a black tip. Full synthetic filament mixture.<br><br>

Available sizes include<br><br>
Size 0<br>
Size 1<br>
Size 2<br>
Size 4<br>
Size 6</br></p>"
"123763",".15mm / .2mm Air Cap Evolution/Infinity",851,21.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,7,"",0,"","","","",0,"",""
"126784",".15mm / .2mm CROWN CAP for CR Plus",851,37.51,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,11,"",0,"","","","",0,"Tripple Plated Finish<br><br>",""
"126783",".15mm / .2mm CROWN CAP for Infinity",851,34.12,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,9,"",0,"","","","",0,"",""
"127920",".15mm Needle for Evolution/Infinity",850,15.03,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,1,"",0,"","","","",0,"",""
"127912",".15mm Nozzle for Evolution/Infinity",850,22.97,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,4,"",0,"","","","",0,"",""
"127903",".15mm Nozzle Set for Infinity/Evolution",845,55.53,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, Air Cap<br><br>",""
"126824",".15mm Nozzle Set w/ CROWN CAP for CR Plus",845,69.78,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, CROWN Air Cap<br><br>",""
"126823",".15mm Nozzle Set w/ CROWN CAP for Infinity/Evolution",845,63.46,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, CROWN Air Cap<br><br>",""
"123903",".15mm to .6mm Spatter Cap for Evolution/Infinity",851,23.26,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,11,"",0,"","","","",0,"",""
"CONV18M",".18mm Micron Conversion Set",252,143.9,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV23M",".23mm Micron Conversion Set",252,143.9,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV2H",".2mm Hi-Line Conversion Set",252,59.35,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"123730",".2mm Needle for Evolution/Infinity",850,14.23,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,2,"",0,"","","","",0,"",""
"123822",".2mm Nozzle for Evolution/Infinity",850,21.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,5,"",0,"","","","",0,"",""
"123703",".2mm Nozzle Set for Infinity/Evolution",845,53.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, Air Cap<br><br>",""
"126834",".2mm Nozzle Set w/ CROWN CAP for CR Plus",845,67.25,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, CROWN Air Cap<br><br>",""
"126833",".2mm Nozzle Set w/ CROWN CAP for Infinity/Evolution",845,61.14,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, CROWN Air Cap<br><br>",""
"CONV2P",".2mm Plus Conversion Set",252,59.35,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV35E",".35mm Eclipse Conversion Set",252,37,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Needle/Nozzle/Nozzle Cap, for converting any .5mm Stock Eclipse to a .35mm.",""
"CONV35N",".35mm Neo Conversion Set",252,22.55,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV3H",".3mm Hi-Line Conversion Set",252,68.85,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV3R",".3mm Revolution Conversion Set",252,46.4,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV3TR",".3mm Revolution TR Conversion Set",252,39.9,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"123773",".4mm Air Cap Evolution/Infinity",851,21.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,8,"",0,"","","","",0,"",""
