"Remove_Group","optGrpID","optGrpName","optGrpName2","optGrpName3","optGrpWorkingName","optType","optFlags","optGrpSelect"
"0","1358","Optional Fittings","","","1/4NPT","-2","0","1"
"0","1646","Thread Type","","","1/4NPT Flake King","2","0","1"
"0","1359","Optional Fittings","","","1/4NPT+1/8","-2","0","1"
"0","1360","Optional Fittings","","","1/4NPT-only","-2","0","1"
"0","810","Optional Accessories","","","106-049","-2","4","1"
"0","302","Please Select","","","16OZ","2","0","1"
"0","654","Choose Size","","","1992 Lettering Brush","2","0","1"
"0","299","Please Select","","","2OZ","2","0","1"
"0","1260","Please Select","","","2OZ PET","2","0","1"
"0","1365","Select Color","","","2oz Training Kit Lumilor","2","4","1"
"0","874","Select Size","","","3M 0652 Tape","2","0","1"
"0","1145","Select Size","","","3M 16615 Accuspray Head 1.2","2","0","1"
"0","1245","Select Size","","","3M 363 Poly Tape","2","0","1"
"0","505","Select Quantity","","","3M 5527","2","0","1"
"0","733","Select Size","","","3M Blue Painters Tape","2","0","1"
"0","492","Select Grit","","","3M Finish","2","0","1"
"0","494","Select Grit","","","3M Gold Disk (125)","2","0","1"
"0","495","Select Grit","","","3M Gold Disk (75)","2","0","1"
"0","969","Select Grit","","","3M Gold Disk (75)","2","0","1"
"0","493","Select Grit","","","3M Gold Sheet","2","0","1"
"0","491","Select Grit","","","3M Hookit","2","0","1"
"0","350","Select Size","","","3M Masking","2","0","1"
"0","667","Choose Size","","","3M Perfect It Rubbing Compound","2","0","1"
"0","1119","Select Size","","","3M PPS 16000","2","0","1"
"0","1120","Select Size","","","3M PPS 16024","2","0","1"
"0","1121","Select Size","","","3M PPS 16028","2","0","1"
"0","1129","Select Size","","","3M PPS 16065","2","0","1"
"0","1130","Select Size","","","3M PPS 16066","2","0","1"
"0","1131","Select Size","","","3M PPS 16091","2","0","1"
"0","1122","Select Size","","","3M PPS 16112","2","0","1"
"0","1123","Select Size","","","3M PPS 16114","2","0","1"
"0","1124","Select Size","","","3M PPS 16301","2","0","1"
"0","1125","Select Size","","","3M PPS 16312","2","0","1"
"0","1126","Select Size","","","3M PPS 16314","2","0","1"
"0","1127","Select Size","","","3M PPS 16325","2","0","1"
"0","1128","Select Size","","","3M PPS 16328","2","0","1"
"0","603","Choose Size","","","3M Swirl Remover","2","0","1"
"0","806","Select Grit","","","3M Trizact","2","0","1"
"0","604","Choose Size","","","3M Ultrafina SE","2","0","1"
"0","353","Select Grit","","","3M Wet/Dry","2","0","1"
"0","656","Choose Size","","","3M Xtra Cut Rubbing Compound","2","0","1"
"0","967","Select Size","","","3M Yellow Automotive Tape","2","0","1"
"0","697","Choose Size","","","4006L","2","0","1"
"0","865","Choose Size","","","4012 Reducer","2","0","1"
"0","1424","Choose Size","","","4012 Reducer *O/S Sizes*","2","0","1"
"0","1008","Choose Size","","","4020 Reducer","2","0","1"
"0","1003","Choose Size","","","4030 Intercoat","2","0","1"
"0","1135","Choose Size","","","4040 Bleed Checker","2","0","1"
"0","1285","Choose Size","","","4050 UVLS Gloss","2","0","1"
"0","1286","Choose Size","","","4051 UVLS Satin","2","0","1"
"0","1287","Choose Size","","","4052 UVLS Matte","2","0","1"
"0","1621","Choose Size","","","4053 UVLS Gloss","2","0","1"
"0","1486","Choose Size","","","44434 Virus II","2","0","1"
"0","300","Please Select","","","4OZ","2","0","1"
"0","1073","LUMICOLR","","","4oz Bundle Lumicolor","2","4","0"
"0","1188","LUMICOLOR","","","4oz Bundle Lumilor","2","0","0"
"0","1258","Please Select","","","4OZ PET","2","0","1"
"0","1184","Select Color","","","4oz PRO Bundle Lumilor","2","4","1"
