"Remove_Product","Additional_Section_IDs","Option_Group_IDs","Coupon_IDs","Change_pID","pID","pName","pSection","pPrice","pListPrice","pWholesalePrice","pDisplay","pSell","pDescription","pLongDescription"
"0","342","","","PES101V","PES101V","""How To Remove Paint Defects"" video","321","10.95","0","0","0","0","<p>Professional Education Series Video - How to Remove Paint Defects. Easy to follow instructional video. Step by step techniques to remove swirls/holograms, orange peel, oxidation and many other defects. Professional secrets to produce a Show Car Shine!
</p>",""
"0","","","","MFS-TM","MFS-TM","""I Was A Teenage Monster Shirt Painter"" by Von Franco","343","21.95","0","0","0","0","Von Franco Low Brow Legend brings you his hit book on DVD. Explore the history of airbrushed painted monster shirts.",""
"0","","500","","4042","4042","""The David Hightower Fitch""","476","0","0","0","1","1","This white bristle fitch (100% pure white hog bristle) is cup chiseled to a straight edge and has a long polished handle. It is a lettering brush best suited for outdoor work such as walls, bulletins and rough surfaces.","*  Shorter Length<br>
    * Finest 100% White Hog Bristle<br>
    * Cup Chiseled<br>
    * Seamless Nickel Ferrules<br>
    * Long Polished Red Handle</br>
"
"0","","","","T6131","T6131","#1 Air Cap","334","4.5","0","0","0","1","",""
"0","","","","T6131P","T6131P","#1 Proliner Air Cap","334","5.95","0","0","0","1","",""
"0","","","","T6081","T6081","#1 Vega Needle","334","4.85","0","0","0","1","",""
"0","","","","T6141","T6141","#1 Vega Tip","334","3.8","0","0","0","1","",""
"0","","","","L/M#2","L/M#2","#2 Mike Lavallee Liner (Pointed Detailer)","209","4.8","0","0","1","1","The Detailer  is used for all tiny strokes like individual hairs, small feathers, etc. Also, I like to use it to do broken outlines around my dry brush strokes and lettering.",""
"0","","","","T6133","T6133","#3 Air Cap","334","4.5","0","0","0","1","",""
"0","","","","T6133P","T6133P","#3 Proliner Air Cap","334","5.95","0","0","0","1","",""
"0","","","","T6083","T6083","#3 Vega Needle","334","4.85","0","0","0","1","",""
"0","","","","T6143","T6143","#3 Vega Tip","334","3.8","0","0","0","1","",""
"0","","","","T6135","T6135","#5 Air Cap","334","4.5","0","0","0","1","",""
"0","","","","T6085","T6085","#5 Vega Needle","334","4.85","0","0","0","1","",""
"0","","","","T6145","T6145","#5 Vega Tip","334","3.8","0","0","0","1","",""
"0","","","","L/M#8","L/M#8","#8 Mike Lavallee Shader","209","6.25","0","0","1","1","The Shader  is a smaller version of the 1/2"" and is used for smaller details like rocks, trees, feathers, etc.",""
"0","43","1485","","FINLANT","FINLANT","*NEW* T-Shirt by Pete ""Hot Dog"" Finlan","390","25","0","0","1","1","*NEW* Coast Airbrush EXCLUSIVE! T-Shirt designed by Pete ""Hot Dog"" Finlan!",""
