"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","43","15","2 oz","","","3.61","0","0.25","0","","0","",""
"0","44","15","4 oz","","","5.62","0","0.4","0","","0","",""
"0","45","15","8 oz","","","10.87","0","0.75","0","","0","",""
"0","46","15","16 oz","","","20.21","0","1.5","0","","0","",""
"0","838","15","32 oz","","","33.33","0","3","0","","0","",""
"0","839","15","Gallon","","","114.64","0","10.5","0","","0","",""
"0","49","19","2 oz","","","2.45","0","0","0","","0","",""
"0","50","19","4 oz","","","3.99","0","0","0","","0","",""
"0","51","19","8 oz","","","4.25","0","0","0","","0","",""
"0","52","19","16 oz","","","8","0","0","0","","0","",""
"0","5159","19","32 oz","","","13.75","0","0","0","","0","",""
"0","53","20","16oz","","","9","0","1.5","0","","0","",""
"0","54","20","32oz","","","16.25","0","2.5","0","","0","",""
"0","56","21","16oz","","","9","0","0","0","","0","",""
"0","57","21","32oz","","","16.25","0","0","0","","0","",""
"0","59","22","4oz","","","3.35","0","0","0","","0","",""
"0","60","22","16oz","","","8","0","0","0","","0","",""
"0","62","23","16oz","","","10.5","0","0","0","","0","",""
"0","63","23","32oz","","","17.5","0","0","0","","0","",""
"0","72","26","4 oz","","","27.17","0","0","0","","0","",""
"0","73","26","8 oz","","","49.4","0","0","0","","0","",""
"0","2222","26","16 oz","","","89.81","0","0","0","","0","",""
"0","2878","26","4oz PRE REDUCED 1:1","","","27.17","0","0","0","","0","",""
"0","2879","26","8oz PRE REDUCED 1:1","","","49.4","0","0","0","","0","",""
"0","2880","26","16oz PRE REDUCED 1:1","","","89.81","0","0","0","","0","",""
"0","2881","26","Quart","","","142.52","0","0","0","","0","",""
"0","3989","26","12oz AEROSOL Spray Can","","","37.67","0","0","0","","0","",""
"0","130","43","Quart White (KS10-Q)","","","42.5","0","0","0","","0","",""
"0","131","43","Quart Black (KS11-Q)","","","40.33","0","0","0","","0","",""
"0","144","45","Quart-Primer Part A (KP2CFA-Q)","","","51.49","0","0","0","","0","",""
