"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","1","1","Blue","","","0","0","0","0","","0","",""
"0","2","1","Red","","","0","0","0","0","","0","",""
"0","3","1","Green","","","0","0","0","0","","0","",""
"0","4","1","Yellow","","","0","0","0","0","","0","",""
"0","12","4","8","","","0","0","0","0","","0","",""
"0","13","4","8 1/2","","","0.1","0.1","0","0","","0","",""
"0","14","4","9","","","0.15","0.15","0","0","","0","",""
"0","15","4","9 1/2","","","0.2","0.2","0","0","","0","",""
"0","16","4","10","","","0.25","0.25","0","0","","0","",""
"0","40","11","Optional Upgrades","","","0","0","0","0","","1","",""
"0","548","11","One-Piece Taller Trigger (I-612-1)","","","9.5","0","0","0","","0","",""
"0","1962","11","Solvent Proof Needle Packing (I-590-2)","","","9.5","0","0","0","","0","",""
"0","43","15","2 oz","","","3.61","0","0.25","0","","0","",""
"0","44","15","4 oz","","","5.62","0","0.4","0","","0","",""
"0","45","15","8 oz","","","10.87","0","0.75","0","","0","",""
"0","46","15","16 oz","","","20.21","0","1.5","0","","0","",""
"0","838","15","32 oz","","","33.33","0","3","0","","0","",""
"0","839","15","Gallon","","","114.64","0","10.5","0","","0","",""
"0","49","19","2 oz","","","2.45","0","0","0","","0","",""
"0","50","19","4 oz","","","3.99","0","0","0","","0","",""
"0","51","19","8 oz","","","4.25","0","0","0","","0","",""
"0","52","19","16 oz","","","8","0","0","0","","0","",""
"0","5159","19","32 oz","","","13.75","0","0","0","","0","",""
"0","53","20","16oz","","","9","0","1.5","0","","0","",""
"0","54","20","32oz","","","16.25","0","2.5","0","","0","",""
"0","56","21","16oz","","","9","0","0","0","","0","",""
"0","57","21","32oz","","","16.25","0","0","0","","0","",""
"0","59","22","4oz","","","3.35","0","0","0","","0","",""
"0","60","22","16oz","","","8","0","0","0","","0","",""
"0","62","23","16oz","","","10.5","0","0","0","","0","",""
"0","63","23","32oz","","","17.5","0","0","0","","0","",""
"0","72","26","4 oz","","","27.17","0","0","0","","0","",""
"0","73","26","8 oz","","","49.4","0","0","0","","0","",""
"0","2222","26","16 oz","","","89.81","0","0","0","","0","",""
"0","2878","26","4oz PRE REDUCED 1:1","","","27.17","0","0","0","","0","",""
"0","2879","26","8oz PRE REDUCED 1:1","","","49.4","0","0","0","","0","",""
"0","2880","26","16oz PRE REDUCED 1:1","","","89.81","0","0","0","","0","",""
"0","2881","26","Quart","","","142.52","0","0","0","","0","",""
"0","3989","26","12oz AEROSOL Spray Can","","","37.67","0","0","0","","0","",""
"0","130","43","Quart White (KS10-Q)","","","42.5","0","0","0","","0","",""
"0","131","43","Quart Black (KS11-Q)","","","40.33","0","0","0","","0","",""
"0","140","44","Pint-Activator (KP21B-P)","","","22.5","0","0","0","","0","",""
"0","141","44","Gallon-Primer (KP21-G)","","","115.5","0","0","0","","0","",""
"0","142","44","Quart-Activator (KP21B-Q)","","","39","0","0","0","","0","",""
"0","144","45","Quart-Primer Part A (KP2CFA-Q)","","","51.49","0","0","0","","0","",""
"0","148","46","Quart-Primer (KD2000-Q)","","","47.72","0","0","0","","0","",""
"0","149","46","Half Pint-Activator (KDA2000-HP)","","","13.03","0","0","0","","0","",""
"0","150","46","Gallon-Primer (KD2000-G)","","","152.74","0","0","0","","0","",""
"0","151","46","Quart-Activator (KDA2000-Q)","","","42.18","0","0","0","","0","",""
"0","194","57","4 oz","","","28.1","0","0","0","","0","",""
"0","195","57","8 oz","","","51.1","0","0","0","","0","",""
"0","2220","57","16 oz","","","92.9","0","0","0","","0","",""
"0","2869","57","4oz PRE REDUCED 1:1","","","28.1","0","0","0","","0","",""
"0","2870","57","8oz PRE REDUCED 1:1","","","51.1","0","0","0","","0","",""
"0","2871","57","16oz PRE REDUCED 1:1","","","92.9","0","0","0","","0","",""
"0","2872","57","Quart","","","135.63","0","0","0","","0","",""
"0","3946","57","12oz AEROSOL Spray Can","","","38.6","0","0","0","","0","",""
"0","206","60","4 oz","","","14.67","0","0","0","","0","",""
"0","207","60","8 oz","","","26.66","0","0","0","","0","",""
"0","2181","60","16 oz","","","48.48","0","0","0","","0","",""
"0","2182","60","Quart","","","61.29","0","0","0","","0","",""
"0","6140","60","12oz Aerosol Spray Can","","","24.67","0","0","0","","0","",""
"0","210","61","4 oz","","","14.99","0","0","0","","0","",""
"0","211","61","8 oz","","","27.25","0","0","0","","0","",""
"0","2183","61","16 oz","","","49.55","0","0","0","","0","",""
"0","2184","61","Quart","","","75.15","0","0","0","","0","",""
"0","6141","61","12oz Aerosol Spray Can","","","27.49","0","0","0","","0","",""
"0","212","62","1 oz","","","4.25","0","0","0","","0","",""
"0","213","62","2 oz","","","7.25","0","0","0","","0","",""
"0","214","62","4 oz","","","12.95","0","0","0","","0","",""
"0","215","62","8 oz","","","18.95","0","0","0","","0","",""
"0","2185","62","16 oz","","","34.95","0","0","0","","0","",""
"0","2186","62","Quart","","","59.34","0","0","0","","0","",""
"0","6142","62","12oz Aerosol Spray Can","","","24.95","0","0","0","","0","",""
"0","216","63","1 oz","","","4.25","0","0","0","","0","",""
"0","217","63","2 oz","","","7.25","0","0","0","","0","",""
"0","218","63","4 oz","","","12.95","0","0","0","","0","",""
"0","219","63","8 oz","","","18.95","0","0","0","","0","",""
"0","2187","63","16 oz","","","34.95","0","0","0","","0","",""
"0","2188","63","Quart","","","56.95","0","0","0","","0","",""
"0","230","66","4 oz","","","16.55","0","0","0","","0","",""
"0","231","66","8 oz","","","30.09","0","0","0","","0","",""
"0","232","66","16 oz","","","54.71","0","0","0","","0","",""
"0","2977","66","4oz PRE REDUCED 1:1","","","16.55","0","0","0","","0","",""
"0","2978","66","8oz PRE REDUCED 1:1","","","30.09","0","0","0","","0","",""
"0","2979","66","16oz PRE REDUCED 1:1","","","54.71","0","0","0","","0","",""
"0","2980","66","Quart","","","90.41","0","0","0","","0","",""
"0","3958","66","12oz AEROSOL Spray Can","","","27.05","0","0","0","","0","",""
"0","235","67","4 oz","","","16.55","0","0","0","","0","",""
"0","236","67","8 oz","","","30.09","0","0","0","","0","",""
"0","237","67","16 oz","","","54.71","0","0","0","","0","",""
"0","2982","67","4oz PRE REDUCED 1:1","","","16.55","0","0","0","","0","",""
"0","2983","67","8oz PRE REDUCED 1:1","","","30.09","0","0","0","","0","",""
"0","2984","67","16oz PRE REDUCED 1:1","","","54.71","0","0","0","","0","",""
"0","2985","67","Quart","","","81.41","0","0","0","","0","",""
"0","2986","67","Gallon","","","309.9","0","0","0","","0","",""
"0","3959","67","12oz AEROSOL Spray Can","","","27.05","0","0","0","","0","",""
"0","240","68","4 oz","","","16.55","0","0","0","","0","",""
"0","241","68","8 oz","","","30.09","0","0","0","","0","",""
"0","2266","68","16 oz","","","54.71","0","0","0","","0","",""
"0","2988","68","4oz PRE REDUCED 1:1","","","16.55","0","0","0","","0","",""
"0","2989","68","8oz PRE REDUCED 1:1","","","30.09","0","0","0","","0","",""
"0","2990","68","16oz PRE REDUCED 1:1","","","54.71","0","0","0","","0","",""
"0","2991","68","Quart","","","79.52","0","0","0","","0","",""
"0","3960","68","12oz AEROSOL Spray Can","","","27.05","0","0","0","","0","",""
"0","254","72","1 oz","","","4.95","0","0","0","","0","",""
"0","255","72","2 oz","","","6.95","0","0","0","","0","",""
