imageProduct,imageSrc,imageType,imageNumber
".7030","prodimages/SCclearsm.png",0,0
".7030","prodimages/SCclearlg.png",1,0
".7031","prodimages/SCclearsm.png",0,0
".7031","prodimages/SCclearlg.png",1,0
".7032","prodimages/SCclearsm.png",0,0
".7032","prodimages/SCclearlg.png",1,0
".F1000","prodimages/f1000sm-1.png",0,0
".F1000","prodimages/f1000sm-2.png",0,1
".F1000","prodimages/f1000lg-1.png",1,0
".F1000","prodimages/f1000lg-2.png",1,1
".F1000","prodimages/f1000lg-3.png",1,2
".F1050","prodimages/fk1050sm1.png",0,0
".F1050","prodimages/f1050sm-2.png",0,1
".F1050","prodimages/f1050lg-1.png",1,0
".F1050","prodimages/f1050lg-2.png",1,1
".F2000","prodimages/f2000sm-1.png",0,0
".F2000","prodimages/f200-2sm.png",0,1
".F2000","prodimages/f200-1sm.png",0,2
".F2000","prodimages/f200-3sm.png",0,3
".F2000","prodimages/f2000lg-1.png",1,0
".F2000","prodimages/f200-1lg.png",1,1
".F2000","prodimages/f200-2lg.png",1,2
".F500","prodimages/f500sm1.png",0,0
".F500","prodimages/f500sm2.png",0,1
".F500","prodimages/f500sm-3.png",0,2
".F500","prodimages/f500lg1.png",1,0
".F500","prodimages/f500lg2.png",1,1
".F500","prodimages/f500lg-3.png",1,2
".F550","prodimages/f550sm-1.png",0,0
".F550","prodimages/f550sm-2.png",0,1
".F550","prodimages/f550sm-3.png",0,2
".F550","prodimages/f550lg-1.png",1,0
".F550","prodimages/f550lg-2.png",1,1
".F550","prodimages/f550lg-3.png",1,2
".MTS101","prodimages/mts101sm.png",0,0
".MTS101","prodimages/mts101lg1.png",1,0
".MTS101","prodimages/mts101lg2.png",1,1
".PANDKG-SUB","prodimages/pkgsub400.png",0,0
".PANDKG-SUB","prodimages/pkgsublg.png",1,0
".SPD","prodimages/dsssSM.png",0,0
".SPD","prodimages/dsssLG.png",1,0
".SPD-C","prodimages/dssscSM.png",0,0
".SPD-C","prodimages/dssscLG.png",1,0
".TEX100","prodimages/TEX100sm.png",0,0
".TEX100","prodimages/TEX100lg.png",1,0
".VAX-LCT-RIG","prodimages/vsionair/VAX-LCT-RIG 1000sm.png",0,0
".VAX-LCT-RIG","prodimages/vsionair/VAX-LCT-RIG 1000lg.png",1,0
".Z809","prodimages/Iwz809SM2.png",0,0
".Z809","prodimages/Iwz809lg.png",1,0
"008-008","prodimages/bracket.gif",0,0
"008-008","prodimages/bracketlg.gif",1,0
"012-003","prodimages/012-003.gif",0,0
"012-004","prodimages/012-004.gif",0,0
"012-005","prodimages/012-005.gif",0,0
"012-008","prodimages/012-008sm.png",0,0
"012-008","prodimages/012-008lg.png",1,0
"012-009","prodimages/012-009sm.png",0,0
"012-009","prodimages/012-009lg.png",1,0
"012-105","prodimages/012-105.gif",0,0
"012-105","prodimages/012-105lg.gif",1,0
"020001B","prodimages/tacrag.gif",0,0
"020001B-B","prodimages/tacrag.gif",0,0
"020001W","prodimages/tacrag.gif",0,0
"020001W-B","prodimages/tacrag.gif",0,0
"020008C","prodimages/tacrag.gif",0,0
"020008C-B","prodimages/tacrag.gif",0,0
"02014","prodimages/sembase.jpg",0,0
"02044","prodimages/sembase.jpg",0,0
"02054","prodimages/sembase.jpg",0,0
"02064","prodimages/sembase.jpg",0,0
"02074","prodimages/sembase.jpg",0,0
"02094","prodimages/sembase.jpg",0,0
"02104","prodimages/sembase.jpg",0,0
"02114","prodimages/sembase.jpg",0,0
"02124","prodimages/sembase.jpg",0,0
"02134","prodimages/sembase.jpg",0,0
"02144","prodimages/sembase.jpg",0,0
"02154","prodimages/sembase.jpg",0,0
"02164","prodimages/sembase.jpg",0,0
"03046","prodimages/semcandy.jpg",0,0
"03066","prodimages/semcandy.jpg",0,0
"03096","prodimages/semcandy.jpg",0,0
"03126","prodimages/semcandy.jpg",0,0
"03156","prodimages/semcandy.jpg",0,0
"03208-P","prodimages/semfcandy.jpg",0,0
"03228-P","prodimages/semfcandy.jpg",0,0
"03238-P","prodimages/semfcandy.jpg",0,0
"03248-P","prodimages/semfcandy.jpg",0,0
"03288-P","prodimages/semfcandy.jpg",0,0
"05551","prodimages/5551SM.jpg",0,0
"05551","prodimages/5551LG.jpg",1,0
"05706","prodimages/05706.jpg",0,0
"05707","prodimages/05707.jpg",0,0
"05708","prodimages/05708.jpg",0,0
"05710","prodimages/05710.jpg",0,0
"05710","prodimages/05710b.jpg",1,0
"05713","prodimages/05713.jpg",0,0
"05713","prodimages/05713b.jpg",1,0
"05718","prodimages/05718.jpg",0,0
"05718","prodimages/05718b.jpg",1,0
"05719","prodimages/05719.jpg",0,0
"05719","prodimages/05719b.jpg",1,0
"05723","prodimages/05723.jpg",0,0
"05723","prodimages/05723b.jpg",1,0
"05725","prodimages/05725.jpg",0,0
"05725","prodimages/05725b.jpg",1,0
"05751","prodimages/05751.jpg",0,0
"05751","prodimages/05751b.jpg",1,0
"05752","prodimages/05752.jpg",0,0
"05753","prodimages/05753_1.jpg",0,0
"05777","prodimages/5777SM.jpg",0,0
"05777","prodimages/5777LG.jpg",1,0
"05865","prodimages/5865SM.jpg",0,0
"05865","prodimages/5865LG.jpg",1,0
"05990","prodimages/3m/05990sm.png",0,0
"05990","prodimages/3m/05990lg.png",1,0
"06024","prodimages/semflake.jpg",0,0
"06034","prodimages/semflake.jpg",0,0
"06064","prodimages/semflake.jpg",0,0
"06068-06069","prodimages/3m/06068sm.png",0,0
"06068-06069","prodimages/3m/06069sm.png",0,1
"06068-06069","prodimages/3m/06068lg.png",1,0
"06068-06069","prodimages/3m/06069lg.png",1,1
"06085-06086","prodimages/06062.jpg",0,0
"06094-06095","prodimages/3m/06094sm.png",0,0
"06094-06095","prodimages/3m/06095sm.png",0,1
"06094-06095","prodimages/3m/06094lg.png",1,0
"06094-06095","prodimages/3m/06095lg.png",1,1
"06124","prodimages/semflake.jpg",0,0
"06134","prodimages/semflake.jpg",0,0
"06293","prodimages/06293.png",0,0
"06293","prodimages/06293lg.png",1,0
"0652","prodimages/3m0652_150px.png",0,0
"0665","prodimages/0665sm.png",0,0
"0665","prodimages/0665lg.png",1,0
"068","prodimages/068sm.png",0,0
"068","prodimages/068lg.png",1,0
"0-6W-K","prodimages/kafkabrushes.gif",0,0
"07014","prodimages/semhyperbase.jpg",0,0
"07024","prodimages/semhyperbase.jpg",0,0
"07034","prodimages/semhyperbase.jpg",0,0
"07044","prodimages/semhyperbase.jpg",0,0
"07054","prodimages/semhyperbase.jpg",0,0
"07094","prodimages/semhyperbase.jpg",0,0
"07104","prodimages/semhyperbase.jpg",0,0
"07114","prodimages/semhyperbase.jpg",0,0
"07124","prodimages/semhyperbase.jpg",0,0
"07134","prodimages/semhyperbase.jpg",0,0
"09901","prodimages/09901sm.png",0,0
"09901","prodimages/09901lg.png",1,0
"1/4-1/4Female","prodimages/14fem.jpg",0,0
"1/4NPT","prodimages/14npt.png",0,0
"1/4NPT","prodimages/14npt.png",1,0
"1/8ADAP","prodimages/3-8adaptor.gif",0,0
"1/8ADAP","prodimages/3-8adaptorlg.gif",1,0
