"sectionID","sectionWorkingName"
"935","VsionAir Stands"
"563","Texture FX"
"240","Sign Blanks & Tags"
"746","HOK S2 primers"
"48","GBX Fill Station"
"157","One Shot-Lettering Enamels"
"403","Mission Models All Colors"
"857","Iwata Black Ops. Iwata Section"
"827","Iwata Spray Guns for SCS"
"431","Createx Reducer & Additives (Universe Cat)"
"128","Additives/Sealers-AA"
"903","Flake King Guns & Binders"
"869","Grex Airbrushes"
"795","Illustration Colors"
"639","Tanning Guns"
"432","Createx (Universe Cat)"
"37","Iwata"
"216","Stencils-Auto Air"
"239","HP PLUS Parts"
"655","Flake King Products"
"640","Tanning Kits"
"889","The Vault"
"405","Mission Models Allied Armor USA"
"936","VsionAir Toolbars & Rigs"
"820","HOK Metallic Base (BC) Aerosol"
"798","Illustration Color Sets"
"861","Ryno Sig Series (CS) - Iwata Cat"
"865","Grex Parts"
"877","LOW VOC Lettering Enamels"
"872","Texture FX 2"
"129","Sets-AA"
"757","Coast TV"
"747","HOK S2 Black/White"
"723","Flake King Ultra Small"
"821","HOK Fine Metallic Base Aerosol"
"158","One Shot-Pearls"
"562","Texture FX 3"
"433","Wicked (Universe Cat)"
"406","Mission Models German Armor WWII"
"866","Grex Hoses"
"858","Iwata Black Ops Spray Guns"
"251","Parts-Revolution"
"232","Temptu Stencils"
"860","Ryno Signature Series (CS) (AB Cat)"
"89","HOK S2 SG"
"217","Accessories-Auto Air"
"856","Iwata Black Ops."
"645","Makeup Kits"
"934","VsionAir Accessories Workstation CAT"
"95","House of Kolor Paint Kits"
"159","One Shot-Fluorescent"
"252","Eclipse Parts"
"344","Air Gunsa"
"822","HOK Pearl Base Coats (PBC) Aerosol"
"444","Illustration Opaque Colors"
"32","Eclipse Series"
"107","HOK Videos"
"446","Quicksilver Chrome"
"511","Alpha 6 Striping & Lettering Accessories"
"911","Air Oil & Lead"
"744","NEO for Iwata"
"867","Grex Adapters"
"642","Makeup Airbrush's"
"407","Mission Models Russian Armor WWII"
"919","XTREME-SHIFT Paints"
"218","Stencil-Auto Air"
"874","The Big Shield Special Edition"
"748","HOK S2 FX Karrier Bases"
"243","Grinders / Abrasives"
"922","HOK Kustom Mix Kolors"
"434","Auto Air (Universe Cat)"
"724","Flake King Small"
"181","Signature Series"
"435","candy2o (Universe Cat)"
"49","Shimrin Pearls"
"108","AA Videos"
"253","HP Parts"
"823","HOK Graphic Colors Aerosol"
"868","Grex Holders"
"942","VsionAir Bases & Stations - ALL"
"718","AA user guides & how to's"
"643","Airbrush Makeup - Temptu"
"426","Mission Models British Armor WWII"
"102","HOK S2 SilverMax"
"244","Tape/Masking"
"725","Flake King Medium"
"62","Transparent Colors"
"160","One Shot-Add/Reducers"
"46","Brush Storage"
"33","Revolution Series"
"272","One Shot Striping Kits"
"50","Marblizer"
"727","Flake King Large"
"824","HOK KBC Aerosol"
"409","Mission Models Modern Armor"
"436","Createx Illustration Colors (Universe Cat)"
"443","Tim Gore's Lifeline (ill. Colors section)"
"459","The Tape Thing"
"63","Semi-Opaque Colors"
"34","High Performance Series"
"227","Lavallee DVD"
"126","Pro Aiir - Makeup Section"
"182","Skull Master"
"254","Micron Parts"
"662","Circle Templates"
"51","Solid Bases"
"423","Mission Models Weathering Colors"
"825","HOK Neon (NE) Aerosol"
"455","One Shot Clear Coats"
"756","HOK S2 clear/reducer/hardener"
"228","DVD-Kafka"
"437","Bloodline (Universe Cat)"
"761","Flake King Extra Large"
"39","DeVilbiss"
"775","Technical Data"
"183","Son of Skull"
"35","Hi-Line Series"
"899","HYPER-FX Colors / A COAST AIRBRUSH Aftermarket Custom Mix"
"793","EBA - Makeup Section"
"716","Mr. B Pinstriping Brushes"
"766","Flake King Double XL"
"229","DVD-OSF"
"116","Fluorescent-AA"
"184","Return of Skull Master"
"65","Luma III Spray Gun Lights"
"372","HOK S2 Limited Colors"
"704","Createx Templates"
"826","Shimrin 2 Aerosol"
"438","AutoBorne (Universe Cat)"
"428","Mission Models Primary Colors"
"268","Mack Cleaning Kits"
"257","Hi-Line Parts"
"380","Solvents"
"52","Shimrin Metallic Bases"
"424","Mission Models Metallics"
"117","Hi-Lite Colors"
"269","Pounce/Mahl/Rails"
"776","Flake King ALL"
"36","Custom Micron Series"
"902","HammAirArt"
"374","Shimrin 2 Aerosol"
"484","Disposable Gun Cup Systems"
"342","DVD's-Other"
"67","Kandy Base Coats"
"40","Astro Pneumatic"
"16","Easels"
"896","Hi-Line TH"
"442","Lifeline (Universe Cat)"
"837","HOK KK Aerosols"
"185","Curse of Skull"
"713","Million Dollar Tan"
"814","Flake King Show Krome"
"17","Canvas"
"118","Pearlized Colors-AA"
"340","Nail Master Stencils"
"813","S2 Paint Kits"
"42","Dura-Block"
"68","Neons"
"186","Kustom FX"
"225","Kustom Series"
"591","HOK MB Aerosols"
"557","Scenix Mural & Theme Paint (CREATEX Category)"
"425","Mission Models Heavy Equipment"
"698","Single Stage Paints"
"779","Tanning Accessories"
"30","Thayer & Chandler"
"343","Mad Fabricators"
"862","Faux Finishing Supplies"
"573","G3/G5/G6 Parts"
"555","Hbb DVD"
"829","HOK-S2 Shop Accessories"
"187","FX II"
"882","Clear Coat & Primer (HOK Aerosols)"
"69","Kameleons"
"119","Metallic-AA"
"892","Createx UVLS Clear Coat (CTX BRAND PAGE)"
"18","Spray Booths"
"31","Aztek"
"271","Striping Accessories"
"427","Mission Models Primers"
"43","Flake King"
"832","HOK-S2 Apparel (S2 Paint Section)"
"72","Prep"
"120","Iridescents-AA"
"475","Mike Laarn Stencils"
"306","Hoses-Iwata"
"575","TR1 & TR2 Parts"
"492","Dagr Airbrush"
"870","AutoBorne Sealers"
"188","Patriotica"
"487","Wicked Markers (Universe Cat)"
"558","Mike Learn DVD"
"608","Valley Kustoms Engine Turning Tools"
"714","Paasche Leisure Tan"
"441","Tim Gore's Lifeline"
"189","Pin Up Girlies"
"429","Mission Models Thinners / Poly Intermix"
"489","Paint Sets"
"524","SATA Airbrushes"
"710","Doug Dorr DVD's"
"673","Iwata Starter Kits"
"759","Shimrin2 Color Walls / Color Chips / Accessories"
"74","UK Bases"
"336","Gun Cleaning Kits"
"273","HOK Lettering"
"121","Gem Chameleon Colors"
"762","Iwata Neo Parts"
"274","1 Shot Lettering"
"712","Daniel Power DVD's"
"530","Scenix Mural & Theme Paint"
"122","Flair Tint Colors"
"190","Flame-o-Rama"
"743","Iwata Neo's"
"439","Tech Data (Universe Cat)"
"447","Spray Gun Regulators"
"760","House of Kolor Digital Product Catalogs & Tech Manuals"
"75","Kandy Koncentrates"
"191","Tiki Master 2"
"891","Createx UVLS Clear Coat (MAIN)"
"849","Createx Accessories / Apparel"
"123","Sparklescent"
"791","Iwata Class Brushes"
"76","Catalysts"
"401","SharpenAir Airbrush Section"
"23","Stencil Supplies"
"124","Cosmic Sparkle"
"77","Clear Coats"
"854","HP-C Anniversary Edition"
"192","Tribal Master"
"907","Hyper FX"
"449","Spray Gun Cups & Lids (iwata)"
"283","Striping Instructional"
"193","Tiki Master"
"176","Ready to Spray Kandy Koncentrate"
"127","Candy Colors-AA"
"204","Poly Brushes & Rollers"
"373","Iwata Work Station"
"519","Spray Gun Hoses & Fittings"
"461","Wicked Markers"
"637","Spray Gun Accessories"
"463","Scharff"
"194","Kustom Kulture FX"
"78","Reducers"
"125","Hot Rod Sparkle Colors"
"778","3M Spray Guns (3M Gun Section)"
"493","Saral Transfer Paper"
"214","Pin Up Girlies II"
"79","Specialty Products"
"692","Lil Daddy Roth Flake Guns"
"641","Liquid Kicks"
"522","Aluminum Bases"
"80","Striping & Lettering"
"792","Sprayit Spray Guns"
"500","Tamiya Modeling Brushes"
"310","4000 Series Sealers"
"215","True Fire Template"
"600","Alphanamel Striping & Lettering Enamels"
"812","Preval Sprayer"
"568","Luco Kazan & French Masters"
"226","Kustom FX 3"
"81","Flakes"
"82","Dry Pearls"
"629","Wizard Pinstriping DVD's"
"346","Horror of Skull Master"
"371","Skull Duggery"
"83","Ice Pearls"
"630","Von Hot Rod Pinstriping Brushes"
"520","Tamco Clear Coats"
"84","Kameleon Pearls"
"682","Lil Daddy Roth Striping Enamel"
"450","Kanji Master"
"85","Kosmic Long-Glo"
"703","Jeff Styles ""Friki Tiki"" Brush"
"451","Flame-o-Rama 2"
"86","Kameleon Opals"
"452","Sailor Girlies"
"800","Pinstriping Kits"
"478","Evil 3 Templates"
"87","Kosmic Pearls"
"47","Vintage Flatz"
"4","Mack Tidwell"
"88","Training-HOK"
"64","Von Dago Striping Brushes"
"482","Dean Loucks"
"610","Spray Max Aerosol Clear Coat and Primer"
"525","Wrath"
"90","Color Cards HOK"
"560","Piracy"
"250","Kosmic Krome"
"561","Pirate Girlies"
"697","Advantage Solvents"
"345","Metajuls"
"512","Flesh Tones (HOK)"
"609","SEM Products"
"571","Zazzo Makeup Templates"
"594","HOK Full Kits"
"830","HOK - Shop Accessories"
"601","2nd Degree Burn"
"831","HOK Apparel (paint section)"
"603","FX4 Templates By Craig Fraser"
"605","Tribal Masters 2 By Steve Vandemon"
"606","Intro Series By Robert Paschal"
"623","Hot Headz"
"624","Bone Headz"
"632","Steam Punks By Craig Fraser"
"633","Metropolis"
"416","MDT-(Paint Category)"
"683","Bubble FX by Dennis Mathewson"
"54","Transparent Colors"
"691","Splatter FX by Gerald Mendez"
"55","Opaque Colors"
"510","Xtreme"
"695","Spider Master"
"56","Fluorescent Colors"
"57","Pearlescent Colors"
"737","Viking FX"
"58","Iridescent Colors"
"738","Woodgrain FX"
"59","Additives & Specialty Products"
"739","Carbon Fiber FX"
"523","Air Opaque"
"60","Color Sets"
"740","Biomech FX"
"672","Paasche Leisure Tan"
"768","Blasted FX"
"790","Grunge FX - Paint Section"
"769","Aztec FX"
"699","Freak Flex"
"770","""H"" Stencil"
"838","Steam Punk FX 2"
"627","AutoBorne"
"445","House of Kolor Clear Coat"
"839","Steam Driven FX"
"871","Pack 'O' Skulls"
"715","Dorr's Hand Cleaner"
"917","AOLN"
"96","Coast Kits"
"97","Double Action"
"98","Single Action"
"99","Air Eraser"
"100","Flow Pencil"
"101","Bottles-Paasche"
"103","Badgers"
"109","Videos-Beginner"
"110","Videos-Auto"
"111","Videos-ILL/Canvas"
"112","Videos-T-Shirt"
"113","Videos-Pinstriping"
"114","Videos-Body & Tattoo"
"115","Videos-Maintenance"
"130","Tamiya-Flat 23ml"
"131","Tamiya-Acrylic 23ml"
"132","Comart-Opaque"
"133","Comart-Transparent"
"134","Comart-Photo Grey"
"135","Comart-Specialty"
"136","Comart-Varnish/Cleaner"
"137","Comart-Sets"
"138","AeroFlash-Opaque"
"139","AeroFlash-Transparent Colors"
"142","Aqua Flow-Transparent"
"143","Aqua Flow-Opaque"
"144","Aqua Flow-Additives"
"146","OSF-Regular"
"147","OSF-Shifty"
"148","OSF-Ghost"
"149","OSF-Psycho"
"150","OSF-Frosty Pearl"
"151","OSF-Special/Ghost"
"154","Temptu-Dura"
"161","Temptu-Tattoo"
"162","Aqua Flow-BLK/WHT"
"163","Aqua Flow-Hot Colors"
"165","OSF-Flake Buster"
"168","Virtus-Clear"
"169","Virtus-Primers/Fillers/Polishes"
"170","Virtus-Reducer"
"171","Sharks"
"172","Silentaire"
"173","Studio Series"
"174","Artograph"
"175","KopyKake"
"177","Compressors-KopyKake"
"196","Mack Lettering Brushes"
"197","Mack Swords"
"198","Mack Daggers"
"199","Mack Broadliners"
"201","Mack Outliners"
"202","Mack Liners/Riggers"
"203","Mack Jet Stroke"
"206","Swirly Q"
"207","Alan Johnson"
"208","DC Macks"
"209","Lavallee's Brushes"
"210","Hannukaine"
"211","Quinn-Mack"
"212","Virus"
"213","Wizard Brushes"
"219","Xcaliber Brushes/Kit/Accessories"
"220","Xcaliber CD's"
"222","Kafka Brushes"
"223","Kafka Accessories"
"628","Videos-Digital Techniques"
"230","Vega Airbrushes"
"231","Omni Airbrushes"
"237","Aztek Parts"
"248","EZ-MIX"
"249","Coast Bottles"
"258","VL-Parts"
"259","Parts-VLST PRO"
"260","Parts-H"
"261","Parts-Millennium"
"262","Parts-AEC"
"277","Tamiya HG Superfine Parts"
"278","74503 Parts"
"279","Tamiya Trigger Parts"
"280","Badger 100 Parts"
"281","Badger 175 Parts"
"282","Badger 155,360,3155 Parts"
"284","Striping Books"
"285","Yurek-Standard"
"286","Yurek-Opaque"
"287","Yurek-Metallic"
"288","Yurek-Fluorescent"
"289","Yurek-Specialty"
"290","Sand Paper"
"291","Sanding Blocks"
"292","Primers/Sealers/Adhesion/Pre Cleaners"
"293","Safety Wear"
"296","Double Action Bottles"
"297","Single Action Bottles"
"298","Fast Blast"
"299","Jars/Lids/Gaskets"
"300","Aztek Bottles"
"301","Iwata Hoses"
"302","Paasche Hoses"
"303","Badger Hoses"
"304","Aztek Hoses"
"305","Quick Connects"
"307","CO2/Propel"
"308","Empty Bottles"
"309","Manifolds"
"316","Regs/Moisture Filters"
"317","Fittings/Adapts"
"318","Holders/Mixers"
"319","Cleaning Kits"
"320","Mirror Glaze Brand"
"321","Meguiar's Sanding"
"322","Meguiar's Grinder & Pads"
"324","Auto Books"
"326","Instructional"
"327","Reference Books"
"328","Nostalgia"
"329","Canvas Top Coats"
"330","Erasers"
"331","Frisk"
"332","Fine Art Instructional"
"333","Temptu Stencils cat. 2 (paint section)"
"334","Vega Parts"
"335","Omni Parts"
"338","Nail Art Acrylic"
"339","Nail Master"
"341","Nail Art Additives"
"347","Tamiya Brushes"
"348","Tamiya Accessories"
"350","Superfine Parts"
"351","Trigger Type Parts"
"352","HG Parts"
"354","True Fire Mini"
"355","Pin Up Mini"
