pID,pName,option
4042,The David Hightower Fitch,"4042-1/4 (9/16"" length)"
4042,The David Hightower Fitch,"4042-1/2 (3/4"" length)"
4042,The David Hightower Fitch,"4042-3/4 (1"" length)"
4042,The David Hightower Fitch,"4042-1 (1-3/16"" length)"
4007L,1 Shot Hardener,Half Pint (4007-HP)
4007L,1 Shot Hardener,Pint (4007-PT)
HMFG-POWDER,16oz Loose Pounce Powder,16oz White
HMFG-POWDER,16oz Loose Pounce Powder,16oz Blue
101L,1Shot White,4 oz
101L,1Shot White,8 oz
101L,1Shot White,Pint
101L,1Shot White,Quart
2PET,2oz Clear Bottle w/ Choice of Lid,2oz w/ Twist Cap (2PT)
2PET,2oz Clear Bottle w/ Choice of Lid,2oz w/ Flip Top BLACK Cap (2PFB)
0665,3M Automotive Refinishing Yellow Masking Tape,"(6652) 3/4"" Yellow Masking"
0665,3M Automotive Refinishing Yellow Masking Tape,"(6653) 1"" Yellow Masking"
0665,3M Automotive Refinishing Yellow Masking Tape,"(6654) 1.5"" Yellow Masking"
0665,3M Automotive Refinishing Yellow Masking Tape,"(6656) 2"" Yellow Masking"
068,3M Blue Painters Tape,"(03680) 3/4"" Blue Masking"
068,3M Blue Painters Tape,"(09171) 1"" Blue Masking"
068,3M Blue Painters Tape,"(09221) 1.5"" Blue Masking"
068,3M Blue Painters Tape,"(09168) 2"" Blue Masking"
6400,3M Blue Vinyl Fine Line Tape,"1/8"" 6404"
6400,3M Blue Vinyl Fine Line Tape,"1/4"" 6405"
6400,3M Blue Vinyl Fine Line Tape,"1/2"" 6408"
6400,3M Blue Vinyl Fine Line Tape,"3/4"" 6409"
EASI-CARE,3M Easy Care Respirator,7191 (small)
EASI-CARE,3M Easy Care Respirator,7192 (medium)
EASI-CARE,3M Easy Care Respirator,7193 (large)
26300,3M Green Masking Tape,"1/8"" 26343"
26300,3M Green Masking Tape,"1/4"" 26344"
26300,3M Green Masking Tape,"1/2"" 26332"
26300,3M Green Masking Tape,"3/4"" 26334"
26300,3M Green Masking Tape,"1"" 26336"
26300,3M Green Masking Tape,"1.5"" 26338"
26300,3M Green Masking Tape,"2"" 26340"
26300,3M Green Masking Tape,"3"" 26341"
6300,3M Green Vinyl Fine Line Tape,"1/16"" 6306"
6300,3M Green Vinyl Fine Line Tape,"1/8"" 6300"
6300,3M Green Vinyl Fine Line Tape,"1/4"" 6301"
06085-06086,3M Perfect it Rubbing Compound,Quart (06085)
06085-06086,3M Perfect it Rubbing Compound,Gallon (06086)
06068-06069,3M Perfect-It 3000 EX Ultrafine Machine Polish,Quart (06068)
06068-06069,3M Perfect-It 3000 EX Ultrafine Machine Polish,Gallon (06069)
06094-06095,3M Perfect-It EX Machine Polish STEP 2,Quart (06094)
06094-06095,3M Perfect-It EX Machine Polish STEP 2,Gallon (06095)
36060-36061,3M Perfect-it Extra Cut Rubbing compound,Quart (36060)
36060-36061,3M Perfect-it Extra Cut Rubbing compound,Gallon (36061)
16312,"3M PPS 13.5 Ounce Midi Lids & Liners, 125 micron filters (blue)",Full Case/50 (16312)
16312,"3M PPS 13.5 Ounce Midi Lids & Liners, 125 micron filters (blue)",Single Lid/Liner (16312-SINGLE)
16112,"3M PPS 13.5 Ounce Midi Lids & Liners, 200 micron filters",Full Case/50 (16112)
16112,"3M PPS 13.5 Ounce Midi Lids & Liners, 200 micron filters",Single Lid/Liner (16112-SINGLE)
16301,"3M PPS 22 Ounce Standard Lids & Liners, 125 micron filters (blue)",Full Case/50 (16301)
16301,"3M PPS 22 Ounce Standard Lids & Liners, 125 micron filters (blue)",Single Lid/Liner (16301-SINGLE)
16000,"3M PPS 22 Ounce Standard Lids & Liners, 200 micron filters",Full Case/50 (16000)
16000,"3M PPS 22 Ounce Standard Lids & Liners, 200 micron filters",Single Lid/Liner (16000-SINGLE)
16325,"3M PPS 28 Ounce Large Lids & Liners, 125 micron filters (blue)",Full Case/25 (16325)
16325,"3M PPS 28 Ounce Large Lids & Liners, 125 micron filters (blue)",Single Lid/Liner (16325-SINGLE)
16024,"3M PPS 28 Ounce Large Lids & Liners, 200 micron filters",Full Case/25 (16024)
16024,"3M PPS 28 Ounce Large Lids & Liners, 200 micron filters",Single Lid/Liner (16024-SINGLE)
16328,"3M PPS 3 Ounce Lids & Liners, 125 micron filters (blue)",Full Case/50 (16328)
16328,"3M PPS 3 Ounce Lids & Liners, 125 micron filters (blue)",Single Lid/Liner (16328-SINGLE)
16314,"3M PPS 5.5 Ounce Mini Lids & Liners, 125 micron filters (blue)",Full Case/50 (16314)
16314,"3M PPS 5.5 Ounce Mini Lids & Liners, 125 micron filters (blue)",Single Lid/Liner (16314-SINGLE)
16114,"3M PPS 5.5 Ounce Mini Lids & Liners, 200 micron filters",Full Case/50 (16114)
16114,"3M PPS 5.5 Ounce Mini Lids & Liners, 200 micron filters",Single Lid/Liner (16114-SINGLE)
0652,3M Precision Masking Tape,"1/4"" x 60 yds (6525)"
0652,3M Precision Masking Tape,"3/4"" x 60 yds (6526)"
0652,3M Precision Masking Tape,"1-1/2"" x 60 yds (6527)"
0652,3M Precision Masking Tape,"2"" x 60 yds (6528)"
363,3M Precision Poly Tape,"1/8"" x 60 yds / 3mm (36350)"
363,3M Precision Poly Tape,"1/4"" x 60 yds / 6mm (36351)"
363,3M Precision Poly Tape,"1/2"" x 60 yds / 12mm (36353)"
363,3M Precision Poly Tape,"3/4"" x 60 yds / 18mm (36354)"
363,3M Precision Poly Tape,"1-1/2"""" x 60 yds  / 36mm (36356)"
363,3M Precision Poly Tape,"2"" x 60 yds / 48mm (36357)"
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",120 Grit #01441
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",150 Grit #01440
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",180 Grit #01439
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",220 Grit #01380
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",280 Grit #01436
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",320 Grit #01435
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",360 Grit #01434
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",400 Grit #01433
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box",500 Grit #01432
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",80 Grit #01213
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",120 Grit #01211
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",180 Grit #01209
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",220 Grit #01208
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",280 Grit #01206
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",320 Grit #01205
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",400 Grit #01203
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box",500 Grit #01202
STIKITROLL,"3M Stikit Gold Sheet Roll 2-3/4"" x 25 yd",80 Grit #02599
STIKITROLL,"3M Stikit Gold Sheet Roll 2-3/4"" x 25 yd",180 Grit #02595
STIKITROLL,"3M Stikit Gold Sheet Roll 2-3/4"" x 25 yd",220 Grit #02594
