pID,pName,pSection,pPrice,pWholesalePrice,pListPrice,pShipping,pShipping2,pWeight,pDisplay,pSell,pBackOrder,pGiftWrap,pExemptions,pInStock,pDims,pTax,pDropship,pStaticPage,pStockByOpts,pRecommend,pOrder,pSKU,pManufacturer,pSearchParams,pTitle,pMetaDesc,pStaticURL,pMinQuant,pDescription,pLongDescription,options
PES101V,"How To Remove Paint Defects"" video",321,10.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
MFS-TM,"I Was A Teenage Monster Shirt Painter"" by Von Franco",343,21.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,74,,,,,0,,,[]
CONV18M,.18mm Micron Conversion Set,252,143.9,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV23M,.23mm Micron Conversion Set,252,143.9,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV2H,.2mm Hi-Line Conversion Set,252,56,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV2P,.2mm Plus Conversion Set,252,42.4,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV35E,.35mm Eclipse Conversion Set,252,37,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV35N,.35mm Neo Conversion Set,252,22.55,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV3R,.3mm Revolution Conversion Set,252,46.4,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV3TR,.3mm Revolution TR Conversion Set,252,39.9,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV5E,.5mm Eclipse Conversion Set,252,25.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV5N,.5mm Neo Conversion Set,252,22.55,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
CONV5TR,.5mm Revolution TR Conversion Set,252,39.9,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
123723,.6mm Nozzle Set for Infinity/Evolution,845,53.2,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
1010397-SINGLE,0.3L RPS Disposable Cup - SINGLE,412,3.25,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
MAKEUP-CLASS-FULLx,1 Day Makeup Class w/ Joe McDonough September 18th,646,225,0,0,0,0,0,0,1,0,0,15,0,,,0,0,0,0,0,,0,,,,,0,,,[]
MAKEUP-CLASS-HALFx,1 Day Makeup Class w/ Joe McDonough September 18th,646,100,0,0,0,0,0,0,1,0,0,15,0,,,0,0,0,0,0,,0,,,,,0,,,[]
TANK,1/2 Shell Fiberglass Tank,460,65,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
MARLIN2,1/2 Shell Marlin,460,89.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
PLUG,"1/4"" Plug",309,5.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
H21010,10' Heavy Duty Leader Hose for Buddy System,665,17.5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
FBSTAPES,10% OFF FBS Tapes,890,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,,5,,,,,0,,,[]
6RB1,10oz Paper Funnels Sleeve of 125,292,14.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
GRAPHICS-CLASS-HALFx,2 Day Graphics Class w/ Ryno June 22nd & 23rd,646,200,0,0,0,0,0,0,1,0,0,15,0,,,0,0,0,0,0,,0,,,,,0,,,[]
GRAPHICS-CLASS-FULLx,2 Day Graphics Class w/ Ryno June 22nd & 23rd,646,395,0,0,0,0,0,0,1,0,0,15,0,,,0,0,0,0,0,,0,,,,,0,,,[]
DECK-CLASS-HALFx,2 Day Skate Deck Class with Craig Fraser Sept. 12th & 13th,646,200,0,0,0,0,0,0,1,0,0,15,0,,,0,0,0,0,0,,0,,,,,0,,,[]
DECK-CLASS-FULLx,2 Day Skate Deck Class with Craig Fraser Sept. 12th & 13th,646,395,0,0,0,0,0,0,1,0,0,15,0,,,0,0,0,0,0,,0,,,,,0,,,[]
BADGER,20% OFF Discounted Price on ALL AIRBRUSHES,890,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,,5,,,,,0,,,[]
FLAKEKING,20% OFF FLAKE KING FLAKES over $100,890,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,,81,,,,,0,,,[]
IAAD-REG,2018 International Airbrush Artist Day Event @ Coast Airbrush,646,10,0,0,0,0,0,1,1,0,0,5,0,,,0,0,0,0,0,,0,"appreciation, artists day, airbrush day, national airbrush, national",,,,0,,,[]
CO2-E,20lb Aluminum CO2 Tank w/ Regulator,307,349,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
FA364,"24"" x 20 yards WHITE (FA364)",531,92.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
DPC-606,24oz Reusable Frame / Lid (2ea),485,15.25,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,15,,,,,0,,,[]
5022-02,2oz. Createx Lifeline Fair Blush,441,7.49,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
5025-02,2oz. Createx Lifeline Light Natural,441,7.49,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
FWH3825,"3/8"" x 25' Work Hose� High-Pressure Air Hose with Fisheye Filter",519,76.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,"work hose, spray gun hose, hoses, hose, airhose, air hose, air-hose, fisheye, filter, filterhose",Workhose Spray Gun Hose and Fisheye Filter Combo,An Innovative Air Hose + The best Dang Filter on the market! We've equipped these as a combo with our top hose and top filtration for best overall performance.,,0,,,[]
FWH3835,"3/8"" x 35' Work Hose� High-Pressure Air Hose with Fisheye Filter",519,84.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,"work hose, spray gun hose, hoses, hose, airhose, air hose, air-hose, fisheye, filter, filterhose",Workhose Spray Gun Hose and Fisheye Filter Combo,An Innovative Air Hose + The best Dang Filter on the market! We've equipped these as a combo with our top hose and top filtration for best overall performance.,,0,,,[]
FWH3850,"3/8"" x 50' Work Hose� High-Pressure Air Hose with Fisheye Filter",519,92.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,"work hose, spray gun hose, hoses, hose, airhose, air hose, air-hose, fisheye, filter, filterhose",Workhose Spray Gun Hose and Fisheye Filter Combo,An Innovative Air Hose + The best Dang Filter on the market! We've equipped these as a combo with our top hose and top filtration for best overall performance.,,0,,,[]
COASTTV,30% OFF All CoasAirbrush TV Training Titles,890,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,,5,,,,,0,,,[]
DPC-600,34oz Disposable Cup / Lid (32ea),485,76.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,15,,,,,0,,,[]
DPC-608,34oz Reusable Frame / Lid (2ea),485,16.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,15,,,,,0,,,[]
28391,"3M 7"" Electric Variable Speed Polisher",572,349,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16615,3M Accuspray 1.2mm Head/Nozzle 4pk,778,24.99,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16614,3M Accuspray 1.3mm Head/Nozzle 4pk,778,24.99,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16612,3M Accuspray 1.4mm Head/Nozzle 4pk,778,24.99,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16609,3M Accuspray 2.0mm Head/Nozzle 4pk,778,24.99,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16571,3M Accuspray Fluid Needle,778,81.75,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
26580,"3M Accuspray Paint Spray Gun System with PPS 2.0, 26580",778,259,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
05990,3M Hand Glaze Quart,572,38.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
5717,"3M Hookit Back Up Pad 7"" x 3/4",572,74.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16299,3M Large/Standard/Midi PPS Lid Dispenser,389,52.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
16219,3M Large/Standard/Midi PPS Liner Dispenser,389,52.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
16298,3M Mini/Micro PPS Lid & Liner Combo Dispenser,389,52.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
06293,3M Soft Edge Foam Masking Tape PLUS,244,64.95,0,77.96,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
05274,3M� Hookit� II Soft Interface Disc Pad 6,243,10,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
05753,"3M� Perfect-It� 100% Wool Compounding Pad, Double Sided. STEP 1",572,28.56,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
05706,"3M� Perfect-It� Foam Compounding Pad, Double Sided. STEP 1",572,27.04,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
16359,3M� PPS� Midi 125 micron Dispenser (SPECIAL PROMO),389,211.12,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
05752,"3M� Quick Connect Adaptor, 5/8 in thread",572,42.82,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
5539,3M� Roloc� Disc Pad Assembly,243,15.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,38,,,,,0,,,[]
TS62,"4"" Old English Caps Set",232,28.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,8,,,,,0,,,[]
H21040,40' Heavy Duty (Smooth Wall) Hobbyair Respirator Hose,665,49.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
H21041,40' Lightweight (Corrugated) Hobbyair Respirator Hose,665,52.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
4050SMPL,4050 Createx UVLS Gloss Clear (SAMPLE),892,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,61,,,,,0,,,[]
4950-04,4300 Series Metallic 4oz Set,129,38.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,27,,,,,0,,,[]
4950-02,4300 Series Sampler 4oz Set,129,61.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,27,,,,,0,,,[]
4945-03,4500 Series Sparklescent 4oz Set,129,79.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,27,,,,,0,,,[]
CB-5,5 Piece Brush Cleaning Set,319,6.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
SGS-5,5 Piece Brush Cleaning Set by Spray Gun Solutions,319,17.25,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
HBB-DVD4,'56 Convertible,555,49.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
TS63,"6"" Old English Caps Set",232,42.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,8,,,,,0,,,[]
SYSVBP,"6"" Velcro Backing Plate",6,19.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,32,,,,,0,,,[]
920GT,"9"" Black Foam Finishing Pad",674,15.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
