Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item,iParent,iSelectionName
Y37RGKWK4GKCT,Iwata Fluid Nozzle .50mm (HP-BCS),,1050,Fixed,,DEFAULT,0.00,734748160411,I-604-1,,-219,,No,No,,
6NY31F21ZWWZP,Iwata Nozzle Wrench,,875,Fixed,,DEFAULT,0.00,734748202074,CL-NW1,,-4,,No,No,,
JVVZ5XHVXVWMC,FBS Spray Gun and Airbrush Cleaning kit,,27995,Fixed,,DEFAULT,169.06,,FBS10001,,1,,No,No,,
MS525EZE96WWJ,Grifhold Bow Compass,,1595,Fixed,,DEFAULT,9.21,,#2804,,7,,No,No,,
434J9ZSWBCCKM,INGENUE,,1795,Fixed,,DEFAULT,17.95,,#30603,,6,,No,No,,
DPTC4P1SAZPWM,WINTER WHEAT,,1795,Fixed,,DEFAULT,17.95,,W032-32,,6,,No,No,,
2KFXMDZMZR44A,Holbien 0 AeroFlash Colorless Extender 35ml,,880,Fixed,,DEFAULT,0.00,4900669062011,0-01,,27,,No,No,,
Z3A1762D108D2,Holbien 0 AeroFlash Colorless Extender 100ml,,2495,Fixed,,DEFAULT,13.20,,0-01-100,,10,,No,No,,
PBCV0Y2RB5DZY,6x12 .024 TAG T10 (125 ct),,0,Fixed,,DEFAULT,75.00,,00206012T,,,,No,No,,
3E5B63C523N2T,Imperial Hookit II,,3639,Fixed,,DEFAULT,29.40,,00672,,,,No,No,,
HH4T630QRN4XY,"3M Imperial Hookit II 6"" 400 Grit",,3600,Fixed,,DEFAULT,29.40,,00673,,,,No,No,,
9B92S47MXDAG2,"3M Imperial Hookit II 6"" Disks - 220 Grit",,3600,Fixed,,DEFAULT,0.00,,00678,,,,No,No,,
8HRCSABFJGABM,"3M Imperial Hookit II 6"" Disks",,3600,Fixed,,DEFAULT,0.00,,00679,,,,No,No,,
BNT62AD958QH6,"3M Imperial Hookit II 6"" Disk 80 Grit",,4350,Fixed,,DEFAULT,0.00,,00683,,,,No,No,,
B84C48BN53V8E,"3M Imperial Hookit II 6"" Disks - 180 Grit",,3600,Fixed,,DEFAULT,0.00,,00697,,,,No,No,,
QSHA1VP0TTJXW,Dura Block 007 Complete Handle,,18995,Fixed,,DEFAULT,0.00,,007-HD,,,,No,No,,
SDMTR7PF9BFGG,Dura-Block 007 Detachable Head HVLP Spray Gun KIT,,47995,Fixed,,DEFAULT,304.00,,007K,,1,,No,No,,
T8P1QEHFPKRGW,Regulator Bracket,,995,Fixed,,DEFAULT,0.00,,008-008,,129,,No,No,,
