cloverID,cloverName,iParent,iSelectionName,iPrice,iListPrice,iStock,iSell
Y37RGKWK4GKCT,Iwata Fluid Nozzle .50mm (HP-BCS),I-604-1,,1050,0,-219,1
6NY31F21ZWWZP,Iwata Nozzle Wrench,CL-NW1,,875,0,-4,1
JVVZ5XHVXVWMC,FBS Spray Gun and Airbrush Cleaning kit,FBS10001,,27995,0,1,1
MS525EZE96WWJ,Grifhold Bow Compass,,,1595,,7,1
434J9ZSWBCCKM,INGENUE,,,1795,,6,1
DPTC4P1SAZPWM,WINTER WHEAT,,,1795,,6,1
2KFXMDZMZR44A,Holbien 0 AeroFlash Colorless Extender 35ml,0-01,,880,0,27,1
Z3A1762D108D2,Holbien 0 AeroFlash Colorless Extender 100ml,,,2495,,10,1
PBCV0Y2RB5DZY,6x12 .024 TAG T10 (125 ct),,,0,,0,1
3E5B63C523N2T,Imperial Hookit II,,,3639,,0,1
HH4T630QRN4XY,"3M Imperial Hookit II 6"" 400 Grit",,,3600,,0,1
9B92S47MXDAG2,"3M Imperial Hookit II 6"" Disks - 220 Grit",,,3600,,0,1
8HRCSABFJGABM,"3M Imperial Hookit II 6"" Disks",,,3600,,0,1
BNT62AD958QH6,"3M Imperial Hookit II 6"" Disk 80 Grit",,,4350,,0,1
B84C48BN53V8E,"3M Imperial Hookit II 6"" Disks - 180 Grit",,,3600,,0,1
QSHA1VP0TTJXW,Dura Block 007 Complete Handle,,,18995,,0,1
SDMTR7PF9BFGG,Dura-Block 007 Detachable Head HVLP Spray Gun KIT,007K,,47995,69900,1,1
T8P1QEHFPKRGW,Regulator Bracket,008-008,,995,0,129,1
RX7S003V31EGE,3M 1500 Hook It II,,,5037,,0,1
QG73RF3TK651A,Hookit Imperial 1200 Grit pad box,,,5300,,0,1
E97QCVKY5SNTT,3M 1000 Hook It II,,,5369,,0,1
SRX40GS5EDNSM,3m Hookit II 800 Grit,,,6000,,0,1
DRV1FE7H5EA12,3m Hookit II 600 Grit,,,5306,,0,1
ZY05CNFKC6VQG,Holbien 01 AeroFlash Transparent Magenta 1oz,,,880,,10,1
0RYDMP5PMKYD4,Air Gunsa 1.3 Needle/Nozzle Set,,,4995,,-1,1
MZK04CJBF18HA,Air Gunsa 3.5 Nozzle Needle Set,,,3000,,0,1
XJEC6FKWRTWZ8,"3"" Roloc 50G",,,3402,,0,1
HEMS9WTFG4EXP,Gerson Elite Funnel Strainers FINE Mesh 190 Micron Strainers YELLOW 500/box,,,5499,,-1,1
XV3B9M9Y8KWR2,Gerson Elite Funnel Strainers LARGE Mesh 260 Micron Strainers RED/ORANGE 500/box,,,5499,,14,1
26SA9M5GQQWY0,50 MICRON Strainers TURQOUISE 500/Box,,,4355,,-1,1
BVB7XVSD0FN8C,Gerson Elite EXTRA FINE Mesh 125 Micron  Strainers BLUE 125/POD,,,1499,,-2,1
BGV5G0GSMJCWJ,Gerson Elite Extra Fine Mesh 120 Micron Strainer BLUE 500/Case,,,5499,,0,1
CZAR1XNKM9W88,Iwata Medea 2 Way on/off Valve,012-004,,395,0,0,1
9J5JBR3JJQJCE,1/4 Iwata Female and Male Quick Disconnect For Power Jet Pro Compressor,012-008,,2295,0,0,1
RHAG386W2N216,"3M Stickit 6"" discs 800P Grit Roll",,,4730,,0,1
FPPHYQX9EKJBJ,Gerson Elite EXTRA FINE Mesh 125Micron Strainer BLUE Starter Kit W/ Dispenser,,,5499,,-2,1
GQ6HEP67EKZNA,"3M 6"" P500 Stikit Gold Disk 75/Roll",,,4730,,0,1
1AEYQZ49WB0S0,"3M 6"" P400 Stikit Gold Disk 75/Roll",,,4730,,-1,1
1J3NHEMVNVT7G,"3M 6"" P320 Stikit Gold Disk 75/Roll",,,4730,,2,1
2THV5RBQGJD8M,"3M 6"" P280 Stikit Gold Disk 75/Roll",,,4730,,0,1
66SBXP49HRHHM,"3M 6"" P220 Stikit Gold Disk 75/Roll",,,4730,,0,1
TA4G2JJ6WQMQG,"3M 6"" P180 Stikit Gold Disk 75/Roll",,,4730,,1,1
TKA010KARMV2R,"3M 6"" P120 Stikit Gold Disk 75/Roll",,,4730,,1,1
XEWCY0JXY8KQG,"3M 6"" P500 Stikit Gold Disk 175/Roll",,,10966,,1,1
F2YM98E0D9564,"3M 6"" P360 Stikit Gold Disk 175/Roll",,,10966,,2,1
5CXE6YGJTF6MC,"3M 6"" P400 Stikit Gold Disk 175/Roll",,,10966,,1,1
