pID,pName,options,suggestion
4042,The David Hightower Fitch,"[{""name"":""4042-1/4 (9/16\"" length)"",""price"":385},{""name"":""4042-1/2 (3/4\"" length)"",""price"":581},{""name"":""4042-3/4 (1\"" length)"",""price"":819},{""name"":""4042-1 (1-3/16\"" length)"",""price"":1036}]","[""Not All Prices Match"",{""name"":""Mack 4042 #¼\"" David Hightower Fitch"",""price"":312},{""name"":""Mack 4042 #½\"" David Hightower Fitch"",""price"":488},{""name"":""Mack 4042 #¾\"" David Hightower Fitch"",""price"":688},{""name"":""Mack 4042 #1 David Hightower Fitch"",""price"":860},""Parenthesis"",""Match Number: 0""]"
4007L,1 Shot Hardener,"[{""name"":""Half Pint (4007-HP)"",""price"":3495},{""name"":""Pint (4007-PT)"",""price"":4795}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""One Shot Hardener"",""price"":3495},{""name"":""One Shot Hardener 16oz"",""price"":4795}]"
HMFG-POWDER,16oz Loose Pounce Powder,"[{""name"":""16oz White"",""price"":0},{""name"":""16oz Blue"",""price"":0}]","[""More Suggestions:3"",{""name"":""Hancy Loose Powder 16oz White"",""price"":599},{""name"":""Hancy Loose Powder 16oz Graphite"",""price"":599},{""name"":""Hancy Loose Powder 16oz Blue"",""price"":599}]"
101L,1Shot White,"[{""name"":""4 oz"",""price"":835},{""name"":""8 oz"",""price"":1258},{""name"":""Pint"",""price"":1777},{""name"":""Quart"",""price"":3345}]","[""Success-1"",{""name"":""One Shot 101L White 4oz"",""price"":835},{""name"":""One Shot 101L White 8oz"",""price"":1258},{""name"":""One Shot 101L White 16oz"",""price"":1777},{""name"":""One Shot 101L White 32oz"",""price"":3345}]"
2PET,2oz Clear Bottle w/ Choice of Lid,"[{""name"":""2oz w/ Twist Cap (2PT)"",""price"":0},{""name"":""2oz w/ Flip Top BLACK Cap (2PFB)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Clear Bottles 2oz 20mm Twist"",""price"":105},{""name"":""Clear Bottles 2oz 20mm Flip Top Black"",""price"":105}]"
0665,3M Automotive Refinishing Yellow Masking Tape,"[{""name"":""(6652) 3/4\"" Yellow Masking"",""price"":325},{""name"":""(6653) 1\"" Yellow Masking"",""price"":436},{""name"":""(6654) 1.5\"" Yellow Masking"",""price"":644},{""name"":""(6656) 2\"" Yellow Masking"",""price"":890}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""3M Automotive Refinish Yellow Masking Tape  ¾"",""price"":553},{""name"":""3M Automotive Refinish Yellow Masking Tape  1"",""price"":916},{""name"":""3M Automotive Refinish Yellow Masking Tape  1½"",""price"":1098},{""name"":""3M Automotive Refinish Yellow Masking Tape  2"",""price"":1518}]"
068,3M Blue Painters Tape,"[{""name"":""(03680) 3/4\"" Blue Masking"",""price"":425},{""name"":""(09171) 1\"" Blue Masking"",""price"":488},{""name"":""(09221) 1.5\"" Blue Masking"",""price"":745},{""name"":""(09168) 2\"" Blue Masking"",""price"":998}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""3M Blue Painter's Masking  Tape 3/4"",""price"":425},{""name"":""3M Blue Painter's Masking  Tape 1"",""price"":488},{""name"":""3M Blue Painter's Masking  Tape 1-1/2"",""price"":745},{""name"":""3M Blue Painter's Masking  Tape 2"",""price"":998}]"
6400,3M Blue Vinyl Fine Line Tape,"[{""name"":""1/8\"" 6404"",""price"":1184},{""name"":""1/4\"" 6405"",""price"":1184},{""name"":""1/2\"" 6408"",""price"":1539},{""name"":""3/4\"" 6409"",""price"":1894}]","[""No Suggestions""]"
EASI-CARE,3M Easy Care Respirator,"[{""name"":""7191 (small)"",""price"":0},{""name"":""7192 (medium)"",""price"":0},{""name"":""7193 (large)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
26300,3M Green Masking Tape,"[{""name"":""1/8\"" 26343"",""price"":379},{""name"":""1/4\"" 26344"",""price"":379},{""name"":""1/2\"" 26332"",""price"":479},{""name"":""3/4\"" 26334"",""price"":507},{""name"":""1\"" 26336"",""price"":701},{""name"":""1.5\"" 26338"",""price"":1021},{""name"":""2\"" 26340"",""price"":1364},{""name"":""3\"" 26341"",""price"":2120}]","[""No Suggestions""]"
6300,3M Green Vinyl Fine Line Tape,"[{""name"":""1/16\"" 6306"",""price"":0},{""name"":""1/8\"" 6300"",""price"":0},{""name"":""1/4\"" 6301"",""price"":0}]","[""Less Suggestions"",{""name"":""3M Green Vinyl Fine Line Tape 1/8"",""price"":1654}]"
06085-06086,3M Perfect it Rubbing Compound,"[{""name"":""Quart (06085)"",""price"":5383},{""name"":""Gallon (06086)"",""price"":17757}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
06068-06069,3M Perfect-It 3000 EX Ultrafine Machine Polish,"[{""name"":""Quart (06068)"",""price"":4684},{""name"":""Gallon (06069)"",""price"":15925}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
06094-06095,3M Perfect-It EX Machine Polish STEP 2,"[{""name"":""Quart (06094)"",""price"":5073},{""name"":""Gallon (06095)"",""price"":17385}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
36060-36061,3M Perfect-it Extra Cut Rubbing compound,"[{""name"":""Quart (36060)"",""price"":5199},{""name"":""Gallon (36061)"",""price"":17524}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
16312,"3M PPS 13.5 Ounce Midi Lids & Liners, 125 micron filters (blue)","[{""name"":""Single Lid/Liner (16312-SINGLE)"",""price"":349},{""name"":""Full Case/50 (16312)"",""price"":12495}]","[""Success-1"",{""name"":""3M PPS Lids/Liners MIDI 13oz/400ml  125 micron SINGLE"",""price"":349},{""name"":""3M PPS Lids/Liners MIDI 13oz/400ml  125 micron 50/box"",""price"":12495}]"
16112,"3M PPS 13.5 Ounce Midi Lids & Liners, 200 micron filters","[{""name"":""Single Lid/Liner (16112-SINGLE)"",""price"":349},{""name"":""Full Case/50 (16112)"",""price"":12495}]","[""Not All Prices Match"",{""name"":""3M PPS Lids/Liners MIDI 13oz/400ml  200 micron SINGLE"",""price"":399},{""name"":""3M PPS Lids/Liners MIDI 13oz/400ml  200 micron 50/box"",""price"":12495},""Parenthesis"",""Success-2"",{""name"":""3M PPS Lids/Liners MIDI 13oz/400ml  200 micron SINGLE"",""price"":399},{""name"":""3M PPS Lids/Liners MIDI 13oz/400ml  200 micron 50/box"",""price"":12495}]"
